,Kingdom,Phylum,Class,Order,Family,Genus,Species
878ed6c12bce96d89c361ed5b8f9f067,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned Betaproteobacteria,Unassigned Betaproteobacteria,Unassigned Betaproteobacteria,Unassigned Betaproteobacteria
b8fca129f7d32f3914b9c0cf522fc486,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Unassigned Collimonas
c43fb4f235b51b69872317bbbfcc7f0e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
80a305cdd00e92a1ec31e49726e5c579,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Unassigned Herbaspirillum
c25483e361a8b61d24c5af0253fa553e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
d34a359930fa7d16269719f7db660e0a,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Unassigned Herbaspirillum
7e350e713938e4db19d55b3ffd310d38,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
eecd6f7911c54c5f51f9ee6567dd797a,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Aquitalea,Aquitalea_magnusonii
1d1533db28dba4af61f1d5cc6633f2fa,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Aquitalea,Unassigned Aquitalea
121315c06a067f6269edce1ae068f427,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium,Unassigned Chromobacterium
9a4447a0f7ee2dbbc9fe8c05ed531f64,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Aquitalea,Unassigned Aquitalea
8458c35eab7f7119dbfc710db590ed16,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales
e16362966e2d68b8c383b9cbc7b196d4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales
c507526998cc377fd3f0439795e5b0ed,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Unassigned Methylophilaceae,Unassigned Methylophilaceae
